Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021),Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number),Prevalence - Mental disorders - Sex: Both - Age: All Ages (Number),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Continent
Congo,COG,2018,5.49,239232,601294,6.5,9.66,Africa
Egypt,EGY,2018,4.005,3544173,13377276,3,9.82,Africa
Ethiopia,ETH,2018,4.379,3438804,11118175,5.4,2.07,Africa
Gabon,GAB,2018,4.783,85827,210806,8.6,19.77,Africa
Gambia,GMB,2018,4.922,87874,242421,4.8,9.02,Africa
Ghana,GHA,2018,5.004,1101332,3184398,6.6,4.16,Africa
Guinea,GIN,2018,5.252,378324,1232862,6.9,4.19,Africa
Kenya,KEN,2018,4.656,1780044,5290588,6,2.64,Africa
Liberia,LBR,2018,4.135,176515,539773,4.4,2.94,Africa
Libya,LBY,2018,5.494,317299,1044436,5.8,18.46,Africa
Madagascar,MDG,2018,4.071,918761,2907113,5.5,1.69,Africa
Malawi,MWI,2018,3.335,528273,1926688,5.6,5.62,Africa
Mali,MLI,2018,4.416,502113,1866018,4.1,7.31,Africa
Mauritania,MRT,2018,4.314,110143,366733,3.1,10.22,Africa
Mauritius,MUS,2018,5.882,57300,160240,8.7,6.43,Africa
Morocco,MAR,2018,4.897,1863906,5493386,7.2,9.08,Africa
Mozambique,MOZ,2018,4.654,959466,3130952,13.5,3.24,Africa
Namibia,NAM,2018,4.834,73316,238696,9.9,19.88,Africa
Niger,NER,2018,5.164,574990,2077860,5.3,0.47,Africa
Nigeria,NGA,2018,5.252,5620481,19142371,3.5,8.45,Africa
Rwanda,RWA,2018,3.561,493401,1420164,5.6,1.02,Africa
Senegal,SEN,2018,4.769,449910,1430627,6.1,6.53,Africa
Sierra Leone,SLE,2018,4.306,266195,878202,6.6,4.42,Africa
