Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Hungary,HUN,2010,25.5,Europe
Ireland,IRL,2010,11.9,Europe
Italy,ITA,2010,6.9,Europe
Lithuania,LTU,2010,37.2,Europe
Luxembourg,LUX,2010,12,Europe
Malta,MLT,2010,7.5,Europe
Moldova,MDA,2010,20.5,Europe
Montenegro,MNE,2010,20.3,Europe
Netherlands,NLD,2010,9.8,Europe
Poland,POL,2010,18.6,Europe
Portugal,PRT,2010,13.6,Europe
Romania,ROU,2010,13.2,Europe
Serbia,SRB,2010,17.2,Europe
Slovakia,SVK,2010,13.6,Europe
Slovenia,SVN,2010,20.7,Europe
Spain,ESP,2010,6.9,Europe
Sweden,SWE,2010,14.7,Europe
Ukraine,UKR,2010,24.5,Europe
United Kingdom,GBR,2010,7.8,Europe
Albania,ALB,2011,7.9,Europe
Armenia,ARM,2011,6.8,Europe
Austria,AUT,2011,16.5,Europe
Azerbaijan,AZE,2011,4.5,Europe
Belarus,BLR,2011,36.2,Europe
Belgium,BEL,2011,21.1,Europe
Bosnia and Herzegovina,BIH,2011,10.6,Europe
Bulgaria,BGR,2011,11,Europe
Croatia,HRV,2011,16.4,Europe
Cyprus,CYP,2011,4.3,Europe
Denmark,DNK,2011,12.6,Europe
Estonia,EST,2011,18.2,Europe
Finland,FIN,2011,17.9,Europe
France,FRA,2011,18,Europe
Georgia,GEO,2011,8.7,Europe
Germany,DEU,2011,13.2,Europe
Greece,GRC,2011,4.4,Europe
Hungary,HUN,2011,25.1,Europe
Ireland,IRL,2011,12.5,Europe
Italy,ITA,2011,7.4,Europe
Latvia,LVA,2011,22.7,Europe
Lithuania,LTU,2011,38.1,Europe
Luxembourg,LUX,2011,11.9,Europe
Malta,MLT,2011,6.8,Europe
Moldova,MDA,2011,15.3,Europe
Montenegro,MNE,2011,20.9,Europe
Netherlands,NLD,2011,10.1,Europe
Poland,POL,2011,18,Europe
Portugal,PRT,2011,12.3,Europe
Romania,ROU,2011,12.1,Europe
Serbia,SRB,2011,18,Europe
Slovakia,SVK,2011,12.9,Europe
Slovenia,SVN,2011,21.6,Europe
